hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region
no,yes,no,16years,white,no,25.0,0.0,0.0,0.0,west
no,no,no,12years,white,no,41.0,0.0,0.0,0.0,south
yes,yes,yes,>16years,white,no,21.0,0.0,2.0,34.3,other
no,yes,yes,9-11years,,no,46.5,0.0,0.0,0.0,other
no,no,no,13-15years,white,no,9.0,0.0,0.0,25.0,northcentral
yes,no,yes,13-15years,white,no,29.0,0.0,0.0,14.163,northcentral
yes,no,yes,13-15years,white,no,12.0,0.0,0.0,2.5,northcentral
no,no,no,12years,white,no,4.0,0.0,0.0,30.0,south
yes,yes,yes,13-15years,white,no,35.0,0.0,0.0,52.861,south
no,yes,no,16years,white,no,1.0,0.0,0.0,5.0,northcentral
no,no,no,12years,white,no,14.0,,,0.0,northcentral
no,yes,no,12years,white,no,44.0,,,0.0,west
no,yes,yes,13-15years,white,no,23.0,0.0,3.0,45.0,west
no,yes,no,16years,white,no,10.0,0.0,0.0,0.0,south
yes,no,yes,>16years,white,no,23.0,0.0,0.0,40.1,west
yes,no,yes,12years,white,no,22.0,1.0,0.0,24.846,other
no,no,no,13-15years,white,no,29.0,,,0.0,northcentral
yes,yes,yes,13-15years,white,no,22.0,0.0,2.0,52.0,south
yes,no,yes,13-15years,white,no,9.0,0.0,0.0,26.16,south
no,no,no,12years,,no,3.0,1.0,0.0,0.0,south
yes,yes,yes,>16years,white,no,11.0,1.0,0.0,50.0,northcentral
no,no,yes,13-15years,white,no,22.0,0.0,1.0,50.0,west
no,yes,no,13-15years,white,no,26.0,,,24.0,west
yes,no,yes,12years,white,no,7.0,0.0,1.0,12.989,northcentral
yes,no,yes,13-15years,white,no,41.0,0.0,0.0,58.0,northcentral
yes,no,yes,>16years,white,no,18.0,,,35.0,west
no,yes,no,12years,white,no,34.0,,,22.103,south
yes,no,yes,<9years,white,no,26.0,1.0,3.0,22.0,west
yes,no,yes,16years,white,no,13.0,3.0,0.0,50.0,northcentral
yes,no,yes,12years,white,no,47.0,0.0,0.0,28.0,northcentral
yes,yes,yes,12years,white,no,9.0,0.0,0.0,16.507,other
no,yes,yes,12years,white,no,32.0,0.0,0.0,65.0,west
yes,no,yes,13-15years,white,no,24.0,0.0,2.0,50.0,other
no,yes,no,13-15years,white,no,4.0,1.0,0.0,25.0,other
no,no,no,12years,white,no,21.0,0.0,1.0,0.0,northcentral
yes,no,yes,13-15years,white,no,14.0,0.0,3.0,52.0,northcentral
yes,no,yes,13-15years,white,no,36.0,0.0,1.0,99.999,northcentral
no,yes,no,<9years,white,yes,38.0,0.0,1.0,6.0,other
no,yes,yes,16years,white,no,16.0,0.0,0.0,80.0,other
yes,no,yes,12years,white,no,25.0,0.0,0.0,0.0,other
yes,yes,yes,9-11years,white,no,37.5,0.0,0.0,30.999,other
yes,no,yes,12years,white,no,38.0,0.0,0.0,52.0,south
no,yes,yes,13-15years,white,no,5.0,1.0,0.0,22.0,south
yes,no,yes,12years,white,no,24.0,0.0,2.0,38.0,other
no,yes,no,<9years,white,no,36.0,0.0,0.0,13.0,northcentral
yes,no,yes,<9years,white,no,37.0,0.0,0.0,2.7,south
yes,no,yes,13-15years,,no,21.0,0.0,0.0,24.0,other
yes,no,yes,13-15years,,no,26.0,0.0,0.0,99.999,northcentral
no,no,yes,<9years,white,no,8.0,2.0,0.0,14.0,south
yes,no,yes,13-15years,white,no,10.0,0.0,1.0,21.15,northcentral
yes,no,yes,13-15years,,no,40.0,0.0,0.0,0.0,west
yes,no,yes,13-15years,white,no,14.0,1.0,2.0,30.0,northcentral
yes,no,yes,13-15years,black,no,20.0,0.0,2.0,41.0,northcentral
no,yes,no,12years,white,no,47.0,0.0,0.0,5.07,west
no,no,no,9-11years,white,no,40.5,0.0,0.0,0.0,west
no,no,no,12years,black,no,10.0,3.0,3.0,0.0,other
yes,no,yes,13-15years,white,no,30.0,0.0,0.0,15.0,other
yes,no,yes,12years,white,no,42.0,0.0,0.0,0.0,northcentral
yes,no,yes,12years,white,yes,12.0,1.0,0.0,18.72,west
no,yes,no,13-15years,,no,16.0,0.0,1.0,16.346,other
no,yes,no,9-11years,white,no,46.5,0.0,0.0,13.78,northcentral
yes,no,yes,12years,black,no,37.0,0.0,0.0,21.5,other
no,yes,no,16years,white,no,7.0,0.0,0.0,0.0,northcentral
yes,no,yes,13-15years,white,no,20.0,1.0,1.0,37.0,other
yes,no,yes,<9years,white,yes,30.0,0.0,3.0,18.2,south
no,no,no,<9years,white,yes,10.0,0.0,0.0,10.0,south
no,yes,no,>16years,white,no,24.0,0.0,1.0,50.0,other
yes,no,yes,16years,white,no,33.0,,,85.0,west
yes,no,yes,12years,white,no,42.0,,,33.28,south
yes,yes,yes,12years,white,no,12.0,0.0,0.0,46.0,west
no,yes,yes,13-15years,white,no,27.0,0.0,0.0,11.0,south
yes,yes,yes,13-15years,white,no,39.0,0.0,0.0,40.0,northcentral
yes,no,yes,13-15years,white,no,8.0,,,18.2,northcentral
yes,yes,yes,13-15years,white,no,28.0,0.0,2.0,42.0,west
no,yes,no,>16years,black,no,24.0,0.0,1.0,0.0,south
yes,no,yes,12years,white,no,13.0,1.0,1.0,35.0,other
no,yes,no,12years,black,no,29.0,0.0,1.0,19.5,west
no,no,no,12years,white,no,24.0,0.0,3.0,0.0,other
no,yes,no,13-15years,white,no,4.0,1.0,1.0,16.0,south
yes,no,yes,12years,white,no,8.0,,,25.0,west
yes,yes,yes,9-11years,white,no,15.5,0.0,3.0,52.0,west
yes,no,yes,13-15years,white,no,19.0,,,23.0,other
yes,no,yes,13-15years,black,no,45.0,0.0,0.0,0.0,south
no,yes,no,12years,white,no,45.0,0.0,0.0,0.0,south
yes,no,yes,16years,white,no,20.0,2.0,2.0,62.5,other
no,yes,no,12years,,no,7.0,,,0.0,west
yes,no,yes,13-15years,white,no,25.0,1.0,1.0,41.0,west
yes,yes,yes,12years,white,no,25.0,0.0,0.0,54.0,south
yes,yes,yes,<9years,,yes,23.0,0.0,3.0,33.587,northcentral
no,no,no,13-15years,white,no,45.0,0.0,0.0,0.0,west
yes,no,yes,13-15years,black,no,27.0,0.0,0.0,68.7,other
yes,no,yes,12years,white,no,36.0,0.0,0.0,19.32,south
yes,yes,yes,13-15years,white,no,13.0,0.0,2.0,18.2,south
no,no,no,13-15years,white,no,7.0,0.0,0.0,22.0,west
no,yes,yes,16years,,no,25.0,0.0,1.0,29.0,west
yes,no,yes,<9years,white,yes,28.0,0.0,2.0,28.622,west
yes,no,yes,13-15years,white,no,20.0,0.0,1.0,32.0,northcentral
no,no,no,9-11years,white,no,48.5,0.0,0.0,0.0,other
yes,yes,yes,>16years,white,no,22.0,0.0,2.0,70.0,other
yes,no,yes,12years,,no,32.0,0.0,0.0,53.0,northcentral
no,yes,no,12years,white,no,45.0,0.0,0.0,0.0,south
no,no,no,13-15years,,no,37.0,0.0,0.0,0.0,other
no,yes,no,13-15years,,no,21.0,0.0,1.0,11.0,south
