whrswk,hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region
40.0,no,yes,yes,13-15years,white,no,17.0,0.0,1.0,22.0,south
40.0,no,yes,yes,13-15years,white,no,4.0,1.0,0.0,15.0,south
0.0,yes,no,yes,16years,white,no,21.0,0.0,1.0,99.999,other
40.0,no,no,yes,13-15years,white,no,22.0,,,60.0,northcentral
35.0,no,yes,no,12years,white,no,15.0,0.0,2.0,0.0,south
20.0,no,no,no,9-11years,white,no,25.5,0.0,0.0,0.0,other
0.0,yes,no,yes,13-15years,white,no,45.0,0.0,0.0,69.0,south
40.0,yes,yes,yes,13-15years,black,no,23.0,0.0,1.0,29.432,other
5.0,yes,no,yes,13-15years,,no,20.0,1.0,1.0,53.0,south
40.0,no,yes,yes,12years,white,no,9.0,1.0,1.0,18.0,west
40.0,no,no,no,12years,white,no,33.0,0.0,0.0,0.0,other
40.0,no,no,no,9-11years,white,no,5.5,1.0,0.0,20.0,northcentral
35.0,no,yes,no,12years,,yes,26.0,0.0,1.0,0.0,south
45.0,no,yes,yes,16years,white,no,7.0,0.0,0.0,40.0,south
0.0,yes,no,yes,12years,white,no,38.0,0.0,0.0,0.0,other
20.0,yes,no,yes,12years,white,no,9.0,1.0,1.0,33.0,south
0.0,yes,no,yes,12years,black,no,3.0,,,4.368,west
40.0,no,yes,yes,12years,white,yes,30.0,0.0,0.0,60.0,other
0.0,yes,no,yes,13-15years,white,no,34.0,0.0,0.0,99.999,other
0.0,no,no,yes,16years,white,no,19.0,1.0,1.0,43.0,northcentral
25.0,no,yes,no,13-15years,white,no,20.0,0.0,1.0,37.0,other
40.0,no,yes,yes,12years,white,no,19.0,0.0,0.0,11.0,northcentral
40.0,yes,no,yes,13-15years,white,no,11.0,0.0,0.0,40.0,south
40.0,yes,no,yes,13-15years,,no,29.0,0.0,1.0,45.0,south
0.0,no,yes,yes,12years,white,yes,37.0,0.0,0.0,50.0,west
40.0,no,yes,yes,16years,black,no,8.0,1.0,1.0,19.0,south
0.0,yes,no,yes,12years,,no,21.0,0.0,1.0,60.0,west
